     0.272	     0.596
     0.314	     0.542
     0.356	     0.496
     0.374	     0.492
     0.416	     0.443
      0.42	     0.422
      0.45	     0.393
     0.492	     0.351
     0.514	     0.335
     0.529	     0.322
     0.556	     0.293
     0.582	     0.264
     0.624	     0.219
     0.729	      0.14
     0.774	     0.103
     0.837	    0.0574
     0.845	    0.0533
     0.874	    0.0451
     0.889	    0.0327
     0.922	    0.0246
     0.945	    0.0122


     0.283	     0.238
     0.319	     0.242
     0.343	     0.313
     0.362	      0.28
     0.374	     0.259
     0.413	     0.309
      0.46	     0.301
     0.501	     0.293
      0.49	     0.281
     0.527	     0.285
     0.548	     0.302
     0.606	     0.319
     0.578	     0.293
      0.72	     0.294
     0.773	     0.249
     0.828	     0.237
     0.843	      0.22
     0.854	      0.22
     0.844	     0.195
      0.87	     0.178
     0.871	     0.158
     0.897	     0.149
     0.919	     0.129
     0.927	     0.104
     0.939	    0.0955
     0.939	    0.0788


     0.285	     0.167
     0.317	     0.192
     0.358	     0.192
      0.36	     0.226
     0.374	     0.259
     0.392	     0.272
     0.428	     0.293
     0.456	     0.314
     0.506	     0.372
     0.545	     0.397
     0.552	     0.418
     0.577	     0.435
     0.609	     0.469
     0.711	     0.586
     0.753	     0.653
     0.806	     0.716
     0.824	     0.749
     0.845	     0.762
     0.848	     0.795
     0.855	     0.803
     0.886	     0.845
     0.904	     0.854
     0.903	     0.887
     0.925	     0.895

